"ip","timezone","file_name","status_code","object_size","origin","user_agent","date","time"
"109.151.182.93",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2012/6/20_Sogeti_Belux_2012_Conference_in_Brussels_files/DSC_0686.jpg",200,"78467","-","Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25","16aug2013","6:02:24 PM"
"210.73.3.174",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2012/10/18_INFORMS_2012_Annual_Meeting_in_Phoenix,_AZ_files/DSC_6214.jpg",200,"25540","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2012/10/18_INFORMS_2012_Annual_Meeting_in_Phoenix%2C_AZ.html","Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25","06aug2013","11:47:42 AM"
"192.94.94.106",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/IMG_1262.jpg",200,"46902","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0","22aug2013","5:10:38 PM"
"178.154.175.251",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2012/12/5_NIPS_2012_Conference_in_Lake_Tahoe,_NV_files/IMG_0879.jpg",200,"20066","-","Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)","20aug2013","11:45:10 AM"
"66.249.81.156",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2267.jpg",200,"64549","-","Mozilla/5.0 (compatible) Feedfetcher-Google; (+http://www.google.com/feedfetcher.html)","02aug2013","1:34:54 AM"
"192.175.27.2",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2379.jpg",200,"94488","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.71 Safari/537.36","01aug2013","10:27:13 PM"
"76.103.149.46",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1_files/DSC_3766.jpg",200,"41006","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/8/15_Entry_1.html","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25","22aug2013","3:31:26 PM"
"92.53.54.249",200,"/mma.pdf",206,"65897","http://www.mma.ugent.be/mma.pdf","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.71 Safari/537.36","08jul2013","6:27:25 PM"
"109.130.24.124",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2011/10/25_Entry_1_files/DSC_4640.jpg",200,"126212","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2011/10/25_Entry_1.html","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0","28jun2013","9:00:32 PM"
"50.17.107.137",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2422.jpg",200,"36352","http://www.mma.ugent.be/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR.html","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6 (FlipboardProxy/0.0.5; +http://flipboard.com/browserproxy)","01aug2013","2:20:57 PM"
"50.18.5.146",200,"/predictive_analytics/customer_intelligence/Blog/Entries/2013/7/26_Open_Source,_Big_Data_and_more_at_OSCON_in_Portland,_OR_files/DSC_2227.jpg",200,"118456","-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.81 Safari/537.1","01aug2013","7:19:16 PM"
"181.65.20.95",200,"/Projects.htm",200,"8797","-","Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A407 Safari/8536.25","29jul2013","6:35:53 AM"
